brand_alcatel,brand_apple,brand_asus,brand_blu,brand_htc,brand_huawei,brand_infinix,brand_lenovo,brand_lg,brand_nokia,brand_samsung,brand_sony,brand_xiaomi,brand_zte,Status_Available,Status_Coming,Status_Discontinued,SIM_Micro-SIM,SIM_Mini-SIM,SIM_Nano-SIM,SIM_eSIM,2G,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Size,ppi,body ratio,battery_capacity,Price,CPU,ratio,pixel,Loudspeaker,3.5mm jack,RAM,Storage,Color_count,Sensors_count,Bluetooth_version,OS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2022,199.0,161.9,72.9,8.4,6.67,395.0,91.0,5000.0,500.0,8.0,2.2222222222222223,2592000.0,0,0,8.0,128.0,3,6,5.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2010,113.0,113.5,55.0,12.6,3.2,146.0,46.7,1500.0,140.0,2.0,1.6666666666666667,96000.0,1,1,0.25,0.5,2,3,3.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,2013,149.0,145.5,72.0,10.3,5.0,220.0,65.8,2100.0,250.0,4.0,1.7777777777777777,518400.0,0,1,1.0,8.0,1,3,4.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2015,260.0,191.0,109.0,9.2,7.0,170.0,66.2,2820.0,130.0,4.0,1.7777777777777777,614400.0,1,1,1.0,4.0,4,1,4.1,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,0,0,2016,278.0,191.8,107.0,8.5,7.0,170.0,67.2,4100.0,100.0,4.0,1.7777777777777777,614400.0,1,1,2.0,16.0,1,1,4.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2011,129.0,119.5,59.7,12.9,2.8,143.0,34.0,1500.0,70.0,2.0,1.3333333333333333,76800.0,1,1,0.25,0.5,1,3,3.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,1,0,2012,135.0,132.5,65.4,9.9,4.3,256.0,58.8,2000.0,150.0,2.0,1.7777777777777777,518400.0,1,1,1.0,4.0,3,4,3.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2015,170.0,146.8,73.4,8.6,5.1,576.0,66.5,3500.0,350.0,8.0,1.7777777777777777,3686400.0,1,1,3.0,32.0,2,6,4.1,0.0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1,1,0,2020,641.0,280.6,214.9,5.9,12.9,265.0,85.4,9720.0,1000.0,8.0,1.3333333333333333,5595136.0,0,0,6.0,128.0,2,5,5.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2020,178.0,159.0,71.0,8.7,6.2,295.0,79.5,3580.0,200.0,8.0,2.333333333333333,1209600.0,1,1,3.0,64.0,2,4,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2021,194.0,164.9,77.1,9.0,6.53,269.0,81.0,5000.0,90.0,8.0,2.2222222222222223,1152000.0,1,1,3.0,32.0,2,3,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2023,194.0,168.0,77.8,8.8,6.7,393.0,82.9,5000.0,141.0,8.0,2.2222222222222223,2592000.0,1,1,4.0,64.0,4,3,5.1,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2018,189.0,157.8,72.3,8.6,6.39,538.0,87.9,4200.0,800.0,8.0,0.5555555555555556,4492800.0,0,0,6.0,128.0,5,8,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,2020,168.0,159.2,73.4,7.9,6.47,398.0,87.9,4000.0,350.0,8.0,0.5555555555555556,2527200.0,1,0,8.0,128.0,1,6,5.1,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2018,144.0,153.5,71.6,8.5,5.7,282.0,76.3,3000.0,130.0,4.0,2.0,1036800.0,1,1,2.0,16.0,5,4,4.2,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2013,112.0,109.4,58.6,12.5,3.27,176.0,49.7,1300.0,90.0,2.0,1.5,153600.0,1,1,0.75,4.0,1,3,3.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2012,138.5,134.8,69.0,9.5,4.7,312.0,65.5,2000.0,200.0,2.0,1.7777777777777777,921600.0,1,1,1.0,16.0,1,4,1.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2015,120.0,125.0,64.0,9.8,4.0,233.0,56.9,1200.0,70.0,2.0,1.6666666666666667,384000.0,1,1,0.5,4.0,2,1,3.0,0.0
