brand_alcatel,brand_apple,brand_asus,brand_blu,brand_htc,brand_huawei,brand_infinix,brand_lenovo,brand_lg,brand_nokia,brand_samsung,brand_sony,brand_xiaomi,brand_zte,Status_Available,Status_Coming,Status_Discontinued,SIM_Micro-SIM,SIM_Mini-SIM,SIM_Nano-SIM,SIM_eSIM,2G,3G,4G,5G,Announced,Weight,Length,Width,Diameter,Display Size,ppi,body ratio,battery_capacity,Price,CPU,ratio,pixel,Loudspeaker,3.5mm jack,RAM,Storage,Color_count,Sensors_count,Bluetooth_version,OS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2015,145.0,142.0,72.5,8.1,5.1,432.0,69.6,2800.0,300.0,8.0,1.7777777777777777,2073600.0,1,1,2.0,16.0,3,5,4.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,0,2019,653.0,243.5,170.2,9.9,10.1,224.0,71.4,7600.0,600.0,8.0,1.6,2304000.0,1,1,4.0,64.0,1,5,5.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2016,137.4,143.6,66.8,7.9,5.0,294.0,71.8,2300.0,200.0,8.0,1.7777777777777777,921600.0,1,1,2.0,16.0,4,3,4.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2016,153.0,147.5,71.0,7.8,5.2,423.0,71.5,2705.0,220.0,8.0,1.7777777777777777,2073600.0,0,1,3.0,32.0,2,5,4.1,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2016,140.0,146.9,70.9,8.4,5.0,294.0,66.2,2200.0,170.0,4.0,1.7777777777777777,921600.0,1,1,2.0,16.0,2,2,4.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1,1,0,0,2011,135.0,125.0,66.0,9.5,4.2,222.0,60.9,1650.0,200.0,2.0,1.6666666666666667,384000.0,1,1,1.0,8.0,1,4,3.0,0.0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1,1,1,0,2015,178.0,144.0,72.9,10.2,5.0,196.0,65.6,2000.0,140.0,4.0,1.7777777777777777,409920.0,1,1,1.0,4.0,2,2,4.0,0.0
0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2015,150.0,156.5,76.5,7.5,5.5,534.0,69.7,2800.0,320.0,8.0,1.7777777777777777,3686400.0,0,1,3.0,32.0,3,4,4.1,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,1,0,2014,110.3,130.1,65.5,6.9,4.5,245.0,65.5,1900.0,230.0,4.0,1.7777777777777777,518400.0,1,1,1.0,16.0,6,3,4.0,0.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1,0,0,2018,174.0,160.1,74.3,9.3,5.7,282.0,70.5,3000.0,100.0,4.0,2.0,1036800.0,1,1,1.0,16.0,4,3,4.0,0.0
