Brand,Phone,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount
Lenovo246,Vibe X2 Pro,False,False,2015.0,"January. Released 2015, April",140.0,146.3,71.0,7.0,5.3,74.6,1080.0,1920.0,16:9,416.0,Android 4.4 ,8.0
Lenovo246,Vibe X3,False,False,2015.0,"November. Released 2015, December",175.0,154.0,76.5,9.3,5.5,70.8,1080.0,1920.0,16:9,401.0,Android 5.1 ,
Lenovo246,Vibe X3 c78,False,False,2015.0,"November. Released 2015, December",,153.6,76.5,9.2,5.5,71.0,1080.0,1920.0,16:9,401.0,Android 5.1 ,8.0
Lenovo246,Vibe Z K910,False,False,2013.0,"November. Released 2013, November",145.2,149.1,77.0,7.9,5.5,72.6,1080.0,1920.0,16:9,401.0,Android 4.3 ,4.0
Lenovo246,Vibe Z2,False,False,2014.0,"September. Released 2014, October",158.0,148.5,76.4,7.8,5.5,73.5,720.0,1280.0,16:9,267.0,Android 4.4 ,4.0
Lenovo246,Vibe Z2 Pro,False,False,2014.0,"August. Released 2014, September",179.0,156.0,81.3,7.7,6.0,78.3,1440.0,2560.0,16:9,490.0,Android 4.4.2 ,4.0
Lenovo246,Vibe Z3 Pro,False,False,2015.0,Q3,,,,,,,1440.0,2560.0,16:9,534.0,Android 5.0.2 ,8.0
Lenovo246,Yoga Smart Tab,False,False,2019.0,October,580.0,,,,10.1,73.6,1200.0,1920.0,16:10,224.0,Android 9.0 ,8.0
Lenovo246,Yoga Tab 11,False,False,2021.0,June 28,655.0,,,,11.0,79.4,1200.0,2000.0,5:3,212.0,Android 11,8.0
Lenovo246,Yoga Tab 13,False,False,2021.0,May 24,830.0,,,,13.0,56.7,1350.0,2160.0,16:10,196.0,Android 11,8.0
Lenovo246,Yoga Tab 3 10,False,False,2016.0,,655.0,253.0,185.0,9.5,10.1,63.2,800.0,1280.0,16:10,149.0,Android 6.0 ,4.0
Lenovo246,Yoga Tab 3 8.0,False,False,2015.0,"October. Released 2015, October",467.2,209.8,145.8,7.0,8.0,60.7,800.0,1280.0,16:10,189.0,Android 5.1 ,4.0
Lenovo246,Yoga Tab 3 Plus,False,False,2016.0,"September. Released 2016, December",637.0,,,,10.1,66.9,1600.0,2560.0,16:10,299.0,Android 6.0.1 ,8.0
Lenovo246,Yoga Tab 3 Pro,False,False,2015.0,December,666.8,246.9,179.1,4.7,10.1,66.9,1600.0,2560.0,16:10,299.0,Android 6.0 ,4.0
Lenovo246,Yoga Tablet 10,False,False,2013.0,"October. Released 2013, November",605.0,261.0,180.0,8.1,10.1,63.0,1280.0,800.0,16:10,149.0,Android 4.2 ,4.0
Lenovo246,Yoga Tablet 10 HD+,False,False,2014.0,"February. Released 2014, May",615.0,261.0,180.0,8.1,10.1,63.0,1200.0,1920.0,16:10,224.0,Android 4.3 ,4.0
Lenovo246,Yoga Tablet 2 10.1,False,False,2014.0,"October. Released 2014, October",619.0,255.0,183.0,7.2,10.1,63.4,1920.0,1200.0,16:10,224.0,Android 4.4.2 ,4.0
Lenovo246,Yoga Tablet 2 8.0 ,False,False,2014.0,"October. Released 2014, October",419.0,210.0,149.0,7.0,8.0,59.3,1200.0,1920.0,16:10,283.0,Android 4.4.2 ,4.0
Lenovo246,Yoga Tablet 2 Pro,False,False,2014.0,"October. Released 2014, October",950.0,333.0,233.0,12.6,,,2560.0,1440.0,16:9,221.0,Android 4.4.2 ,4.0
Lenovo246,Yoga Tablet 8,False,False,2013.0,"October. Released 2013, October",401.0,213.0,144.0,7.3,8.0,60.5,1280.0,800.0,16:10,189.0,Android 4.2 ,4.0
Lenovo246,Z5,False,False,2018.0,June,165.0,153.0,75.7,7.9,6.2,83.6,1080.0,2246.0,7:9,402.0,Android 8.1 ,8.0
Lenovo246,Z5 Pro,False,False,2018.0,November,210.0,155.1,73.0,9.3,6.39,88.5,1080.0,2340.0,5:9,403.0,Android 8.1 ,8.0
Lenovo246,Z5 Pro GT,False,False,2018.0,December,210.0,155.1,73.0,9.3,6.39,88.5,1080.0,2340.0,5:9,403.0,Android 8.1 ,8.0
Lenovo246,Z5s,False,False,2018.0,December 18,172.0,156.7,74.5,7.9,6.3,83.5,1080.0,2340.0,5:9,409.0,Android 9.0 ,8.0
Lenovo246,Z6,False,False,2019.0,July 04,159.0,157.0,74.5,8.0,6.39,85.7,1080.0,2340.0,5:9,403.0,Android 9.0 ,8.0
Lenovo246,Z6 Pro,False,False,2019.0,April 23,185.0,157.5,74.6,8.7,6.39,85.3,1080.0,2340.0,5:9,403.0,Android 9.0 ,8.0
Lenovo246,Z6 Pro 5G,False,False,2019.0,June 26,185.0,157.5,74.6,8.7,6.39,85.3,1080.0,2340.0,5:9,403.0,Android 9.0 ,8.0
Lenovo246,Z6 Youth,False,False,2019.0,May,164.0,156.6,74.3,7.9,6.3,83.7,1080.0,2340.0,5:9,409.0,Android 9.0 ,8.0
Lenovo246,ZUK Edge,False,False,2016.0,"December. Released 2017, January",160.0,142.9,74.5,7.7,5.5,78.3,1080.0,1920.0,16:9,401.0,Android 7.0 ,4.0
Lenovo246,ZUK Z1,False,False,2015.0,"August. Released 2015, September",175.0,155.7,77.3,8.9,5.5,69.3,,,,,Android 5.1.1 ,4.0
Lenovo246,ZUK Z1 mini,False,False,2016.0,Q1,,,,,,,720.0,1280.0,16:9,312.0,Android 5.1.1 ,8.0
Lenovo246,ZUK Z2,False,False,2016.0,"May. Released 2016, June",149.0,141.7,68.9,8.5,5.0,70.6,,,,,Android 6.0.1 ,4.0
Lenovo246,ZUK Z2 Pro,False,False,2016.0,"April. Released 2016, June",145.0,145.4,70.5,7.5,5.2,72.7,1080.0,1920.0,16:9,424.0,Android 6.0.1 ,4.0
Lenovo246,ideapad,False,False,,,360.0,215.0,130.0,9.3,8.0,66.4,800.0,1280.0,16:10,189.0,Microsoft Windows Phone 8.1,4.0
Lenovo246,moto tab,False,False,2017.0,November,500.0,247.0,175.0,7.6,10.1,68.4,1200.0,1920.0,16:10,224.0,Android 7.0 ,8.0
