Device,BatterymAh,price_prep,Chipset,GPU,display_type_prep,Brand,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount,main_camera_configuration,selfie_camera_configuration,has_loudspeaker,has_jack,WLAN,NFC,bluetooth_version
M10 Plus,5000,200 EUR,Mediatek MT6762 Helio P22T (12 nm),PowerVR GE8320,IPS,Lenovo246,False,False,2020.0,March 27,460.0,244.2,153.3,8.2,10.3,82.2,1200.0,1920.0,16:10,220.0,Android 9.0 ,8.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,False,5.0
Mach LS860,1700,150 EUR,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,IPS,LG667,False,False,2012.0,"October. Released 2012, December",167.8,117.9,65.0,12.2,4.0,59.4,480.0,800.0,5:3,233.0,Android 4.0 ,2.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.0
Magna,2540,140 EUR,Mediatek MT6582 - H502 model,Mali-400MP2 - H502 model,IPS,LG667,False,False,2015.0,"February. Released 2015, May",137.0,139.8,69.9,10.1,5.0,70.5,720.0,1280.0,16:9,294.0,Android 5.0.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.1
Mate 10,4000,230 EUR,Kirin 970 (10 nm),Mali-G72 MP12,IPS,Huawei441,False,False,2017.0,October,186.0,150.5,77.8,8.2,5.9,81.6,1440.0,2560.0,16:9,499.0,Android 8.0 ,8.0,Dual,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
Mate 10 Lite,3340,190 EUR,Kirin 659 (16 nm),Mali-T830 MP2,IPS,Huawei441,False,False,2017.0,October,164.0,156.2,75.2,7.5,5.9,76.5,1080.0,2160.0,18:9,409.0,Android 7.0 ,8.0,Dual,Dual,True,True,Wi-Fi 802.11 b/g/n,False,4.2
Mate 10 Porsche Design,4000,600 EUR,Kirin 970 (10 nm),Mali-G72 MP12,OLED,Huawei441,False,False,2017.0,October,178.0,154.2,74.5,7.9,6.0,80.9,1080.0,2160.0,18:9,402.0,Android 8.0 ,8.0,Dual,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
Mate 10 Pro,4000,450 EUR,Kirin 970 (10 nm),Mali-G72 MP12,OLED,Huawei441,False,False,2017.0,October,178.0,154.2,74.5,7.9,6.0,80.9,1080.0,2160.0,18:9,402.0,Android 8.0 ,8.0,Dual,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
Mate 20,4000,460 EUR,Kirin 980 (7 nm),Mali-G76 MP10,IPS,Huawei441,False,False,2018.0,October,188.0,158.2,77.2,8.3,6.53,88.0,1080.0,2244.0,7:9,381.0,Android 9.0 ,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Mate 20 Pro,4200,800 EUR,Kirin 980 (7 nm),Mali-G76 MP10,OLED,Huawei441,False,False,2018.0,October 16,189.0,157.8,72.3,8.6,6.39,87.9,1440.0,3120.0,5:9,538.0,Android 9.0 ,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Mate 20 RS Porsche Design,4200,1200 EUR,Kirin 980 (7 nm),Mali-G76 MP10,OLED,Huawei441,False,False,2018.0,October,187.0,157.8,72.3,9.7,6.39,87.9,1440.0,3120.0,5:9,538.0,Android 9.0 ,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Mate 20 X,5000,580 EUR,Kirin 980 (7 nm),Mali-G76 MP10,OLED,Huawei441,False,False,2018.0,October,232.0,174.6,85.4,8.2,7.2,87.6,1080.0,2244.0,7:9,346.0,Android 9.0 ,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Mate 20 X (5G),4200,760 EUR,Kirin 980 (7 nm),Mali-G76 MP10,OLED,Huawei441,False,False,2019.0,May,233.0,174.6,85.4,8.4,7.2,87.6,1080.0,2244.0,7:9,346.0,Android 9.0 ,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Mate 20 lite,3750,230 EUR,Kirin 710 (12 nm),Mali-G51 MP4,IPS,Huawei441,False,False,2018.0,August,172.0,158.3,75.3,7.6,6.3,81.7,1080.0,2340.0,5:9,409.0,Android 8.1 ,8.0,Dual,Dual,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
Mate 30,4200,550 EUR,Kirin 990 (7 nm+),Mali-G76 MP16,OLED,Huawei441,False,False,2019.0,September,196.0,160.8,76.1,8.4,6.62,87.9,1080.0,2340.0,5:9,389.0,Android 10,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.1
Mate 30 5G,4200,650 EUR,Kirin 990 5G (7 nm+),Mali-G76 MP16,OLED,Huawei441,False,False,2019.0,September,196.0,160.8,76.1,8.4,6.62,87.9,1080.0,2340.0,5:9,389.0,Android 10,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.1
Mate 30 Pro,4500,1290 EUR,Kirin 990 (7 nm),Mali-G76 MP16,OLED,Huawei441,False,False,2019.0,September 19,198.0,158.1,73.1,8.8,6.53,94.1,1176.0,2400.0,5:9,409.0,Android 10,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.1
Mate 30 Pro 5G,4500,1440 EUR,Kirin 990 5G (7 nm+),Mali-G76 MP16,OLED,Huawei441,False,False,2019.0,September 19,198.0,158.1,73.1,8.8,6.53,94.1,1176.0,2400.0,5:9,409.0,Android 10,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.1
