Device,BatterymAh,price_prep,Chipset,GPU,display_type_prep,Brand,GPRS,EDGE,LunchDate,Status,Weight,Body_x,Body_y,Body_z,DisplaySize,DisplayArea,pixel_y,pixel_x,Display_Resolution_ratio,ppi_dencity,OS,CPUCoreCount,main_camera_configuration,selfie_camera_configuration,has_loudspeaker,has_jack,WLAN,NFC,bluetooth_version
Blade V30,5000,200 EUR,Unisoc Tiger T618 (12 nm),Mali G52 MP2,IPS,ZTE369,False,False,2021.0,July 16,193.0,165.8,77.8,8.9,6.67,83.3,1080.0,2400.0,20:9,395.0,Android 11,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n/ac,False,5.0
Blade V40 Design,4500,200 EUR,Unisoc Tiger T616 (12 nm),Mali-G57 MP1,IPS,ZTE369,False,False,2022.0,December 21,183.4,163.0,74.0,8.0,6.6,87.0,1080.0,2408.0,20:9,400.0,Android 12,8.0,Triple,Single,True,True,Yes,True,Yes
Blade V40 Pro,5100,350 EUR,Unisoc Tiger T618 (12 nm),Mali G52 MP2,AMOLED,ZTE369,False,False,2022.0,March 01,190.0,163.9,76.2,8.3,6.67,86.0,1080.0,2400.0,20:9,395.0,Android 11,8.0,Quad,Single,True,True,Yes,False,Yes
Blade V40 Vita,6000,130 EUR,Unisoc T606 (12 nm),Mali-G57 MP1,IPS,ZTE369,False,False,2022.0,May 31,214.3,168.0,77.5,9.4,6.75,84.5,720.0,1600.0,20:9,260.0,Android 12,8.0,Triple,Single,True,True,Yes,False,5.0
Blade V40s,4500,170 EUR,Unisoc UMS512T T618 (12 nm),Mali-G52 MP2,AMOLED,ZTE369,False,False,2022.0,October 04,184.0,163.5,75.8,7.6,6.67,86.7,1080.0,2400.0,20:9,395.0,Android 12,8.0,Triple,Single,True,True,Yes,True,5.0
Blade V50,4800,99,None,None,AMOLED,ZTE369,False,False,2023.0,September,178.0,161.9,72.8,8.0,6.67,91.1,1080.0,2400.0,20:9,395.0,Android 13,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.2
Blade V50 Design 4G,5000,120 EUR,Unisoc T606 (12 nm),Mali-G57 MP1,IPS,ZTE369,False,False,2023.0,October,207.0,165.0,76.1,8.3,6.6,83.6,1080.0,2408.0,20:9,400.0,Android 13,8.0,Triple,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.2
Blade V50 Vita,5200,11,Unisoc T606 (12 nm),Mali-G57 MP1,IPS,ZTE369,False,False,2023.0,September,204.0,167.4,76.0,8.3,6.75,86.5,720.0,1600.0,20:9,260.0,Android 13,8.0,Triple,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.2
Blade V7,2500,150 EUR,Mediatek MT6753 (28 nm),Mali-T720MP3,IPS,ZTE369,False,False,2016.0,February,136.0,146.0,72.5,7.5,5.2,70.4,1080.0,1920.0,16:9,424.0,Android 6.0 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Blade V7 Lite,2500,120 EUR,Mediatek MT6735P (28 nm),Mali-T720MP2,IPS,ZTE369,False,False,2016.0,February,135.0,143.8,70.2,7.9,5.0,68.3,720.0,1280.0,16:9,294.0,Android 6.0 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Blade V7 Plus,2540,180 EUR,Mediatek MT6753 (28 nm),Mali-T720MP3,S-IPS,ZTE369,False,False,2017.0,July,136.0,146.0,72.5,8.0,5.2,70.4,1080.0,1920.0,16:9,424.0,Android 6.0 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Blade V8,2730,250 EUR,Qualcomm MSM8940 Snapdragon 435 (28 nm),Adreno 505,IPS,ZTE369,False,False,2017.0,January,141.0,148.4,71.5,7.7,5.2,70.3,1080.0,1920.0,16:9,424.0,Android 7.0 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.1
Blade V8 Lite,2500,150 EUR,Mediatek MT6750 (28 nm),Mali-T860MP2,IPS,ZTE369,False,False,2017.0,February,136.0,143.0,71.0,8.0,5.0,67.9,720.0,1280.0,16:9,294.0,Android 7.0 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.1
Blade V8 Mini,2800,160 EUR,Qualcomm MSM8940 Snapdragon 435 (28 nm),Adreno 505,IPS,ZTE369,False,False,2017.0,February,141.0,143.5,70.0,8.9,5.0,68.6,720.0,1280.0,16:9,294.0,Android 7.0 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.1
Blade V8 Pro,3140,200 EUR,Qualcomm MSM8953 Snapdragon 625 (14 nm),Adreno 506,IPS,ZTE369,False,False,2017.0,January,185.0,156.0,77.0,9.1,5.5,69.4,1080.0,1920.0,16:9,401.0,Android 6.0.1 ,8.0,Single,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,4.2
Blade V9,3100,150 EUR,Qualcomm SDM450 Snapdragon 450 (14 nm),Adreno 506,S-IPS,ZTE369,False,False,2018.0,February,140.0,151.4,70.6,7.5,5.7,78.4,1080.0,2160.0,18:9,424.0,Android 8.1 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
Blade V9 Vita,3200,120 EUR,Qualcomm MSM8940 Snapdragon 435 (28 nm),Adreno 505,IPS,ZTE369,False,False,2018.0,February,135.0,146.8,68.7,7.6,5.45,76.0,720.0,1440.0,18:9,295.0,Android 8.1 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
Blade X,3000,100 EUR,Qualcomm MSM8917 Snapdragon 425 (28 nm),Adreno 308,IPS,ZTE369,False,False,2017.0,October,156.0,156.0,77.5,8.9,5.5,69.0,720.0,1280.0,16:9,267.0,Android 7.1.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
Blade X1 5G,4000,320 EUR,Qualcomm SM7250 Snapdragon 765G 5G (7 nm),Adreno 620,IPS,ZTE369,False,False,2021.0,January 26,190.0,164.0,76.0,9.2,6.5,83.2,1080.0,2340.0,5:9,396.0,Android 10,8.0,Quad,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Blade X9,3000,170 EUR,Qualcomm MSM8939 Snapdragon 615 (28 nm),Adreno 405,IPS,ZTE369,False,False,2015.0,"November. Released 2015, December",160.0,155.3,77.2,8.6,5.5,69.6,1080.0,1920.0,16:9,401.0,Android 5.1 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.1
Blade Z Max,4080,110 EUR,Qualcomm MSM8940 Snapdragon 435 (28 nm),Adreno 505,IPS,ZTE369,False,False,2017.0,"August. Released 2017, August",175.0,166.1,84.6,8.4,6.0,70.6,1080.0,1920.0,16:9,367.0,Android 7.1.1 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
Boost Max+,3400,180 EUR,None,None,IPS,ZTE369,True,True,2015.0,"July. Released 2015, July",194.8,165.1,82.6,10.2,5.7,65.7,720.0,1280.0,16:9,258.0,Android 5.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Butterfly,2020,330 EUR,Qualcomm APQ8064 Snapdragon 600,Adreno 320,Super,HTC287,False,False,2012.0,"December. Released 2013, January",140.0,143.0,70.5,9.1,5.0,68.4,1080.0,1920.0,16:9,441.0,Android 4.1.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.0
Butterfly 2,2700,250 EUR,Qualcomm Snapdragon 801 (28 nm),Adreno 330,IPS,HTC287,False,False,2014.0,"August. Released 2014, September",151.0,145.4,70.2,10.0,5.0,67.5,1080.0,1920.0,16:9,441.0,Android 4.4.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,4.0
Butterfly 3,2700,300 EUR,Qualcomm MSM8994 Snapdragon 810 (20 nm),Adreno 430,IPS,HTC287,False,False,2015.0,"September. Released 2015, October",161.0,151.0,73.0,10.0,5.2,67.6,1440.0,2560.0,16:9,565.0,Android 5.0 ,8.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,4.1
Butterfly S,3200,300 EUR,Qualcomm APQ8064T Snapdragon 600,Adreno 320,Super,HTC287,False,False,2013.0,"June. Released 2013, July",160.0,144.5,70.5,10.6,5.0,67.7,1080.0,1920.0,16:9,441.0,Android 4.2.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,4.0
C01 Plus,3000,90 EUR,Unisoc SC9863A (28nm),IMG8322,IPS,Nokia576,False,False,2021.0,June 08,157.0,148.0,71.8,9.3,5.45,72.1,720.0,1440.0,18:9,295.0,Android 11 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C1,2500,50 EUR,None,None,IPS,Nokia576,False,False,2019.0,December 11,155.0,147.6,71.4,8.7,5.45,72.7,480.0,960.0,18:9,197.0,Android 9.0 Pie ,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,False,4.2
C1 2nd Edition,2500,50 EUR,Unisoc SC7731e,Mali-400 MP2,TFT,Nokia576,False,False,2021.0,July 05,154.0,148.0,71.8,9.3,5.45,72.1,720.0,1440.0,18:9,295.0,Android 11 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C1 Plus,2500,70 EUR,None,None,IPS,Nokia576,False,False,2020.0,December 15,146.0,149.1,71.2,8.8,5.45,72.2,720.0,1440.0,18:9,295.0,Android 10 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C10,3000,80 EUR,Unisoc SC7331E (28nm),Mali-400 MP2,IPS,Nokia576,False,False,2021.0,April 08,191.0,169.9,77.9,8.8,6.52,77.5,720.0,1600.0,20:9,269.0,Android 11 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C110,3000,100 EUR,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,IPS,Nokia576,False,False,2023.0,June 02,172.0,160.8,74.0,8.5,6.3,81.9,720.0,1560.0,5:9,273.0,Android 12,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n/ac,False,5.0
C12,3000,162,Unisoc SC9863A1 (28nm),IMG8322,IPS,Nokia576,False,False,2023.0,January 18,177.4,160.6,74.3,8.8,6.3,80.3,720.0,1600.0,20:9,278.0,Android 12 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.2
C12 Pro,4000,80 EUR,Unisoc SC9863A1 (28nm),IMG8322,IPS,Nokia576,False,False,2023.0,March 21,177.4,160.6,74.3,8.8,6.3,80.3,720.0,1600.0,20:9,278.0,Android 12 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.2
C2,2750,200 EUR,Mediatek MT6735P (28 nm),Mali-T720MP2,IPS,Lenovo246,False,False,2016.0,"July. Released 2016, July",139.0,143.0,71.4,8.6,5.0,67.5,720.0,1280.0,16:9,294.0,Android 6.0 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
C2 2nd Edition,2400,240 EUR,None,None,IPS,Nokia576,False,False,2022.0,February 28,180.0,154.0,75.9,10.0,5.7,71.7,480.0,960.0,18:9,188.0,Android 11 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
C2 Tava,3000,100 EUR,Mediatek MT6761 Helio A22 (16 nm),PowerVR GE8320,IPS,Nokia576,False,False,2020.0,May 29,180.0,150.6,72.4,9.1,5.45,70.3,720.0,1440.0,18:9,295.0,Android 10,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C2 Tennen,3000,60 EUR,Mediatek MT6761 Helio A22 (16 nm),PowerVR GE8320,IPS,Nokia576,False,False,2020.0,May 29,180.0,150.6,72.4,9.1,5.45,70.3,720.0,1440.0,18:9,295.0,Android 10,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C20,3000,80 EUR,Unisoc SC9863A (28nm),IMG8322,IPS,Nokia576,False,False,2021.0,April 08,191.0,169.9,77.9,8.8,6.52,77.5,720.0,1600.0,20:9,269.0,Android 11 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C20 Plus,4950,90 EUR,Unisoc SC9863A (28nm),IMG8322,IPS,Nokia576,False,False,2021.0,June 11,204.7,165.4,75.9,9.4,6.5,81.3,720.0,1600.0,20:9,270.0,Android 11 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C200,4000,60 EUR,Mediatek MT6761 Helio A22 (12 nm),PowerVR GE8320,IPS,Nokia576,False,False,2022.0,January 05,172.5,156.5,73.1,8.8,6.09,79.6,720.0,1560.0,5:9,282.0,Android 12,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n/ac,False,5.0
C21,3000,70 EUR,Unisoc SC9863A (28nm),IMG8322,IPS,Nokia576,False,False,2022.0,February 28,195.0,169.9,77.9,8.8,6.52,77.5,720.0,1600.0,20:9,269.0,Android 11 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C21 Plus,4000/5050,499,Unisoc SC9863A (28nm),IMG8322,IPS,Nokia576,False,False,2022.0,February 28,178.0,164.8,75.9,8.6,6.52,82.1,720.0,1600.0,20:9,269.0,Android 11 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C210,3000,99,Qualcomm SM6115 Snapdragon 662 (11 nm),Adreno 610,IPS,Nokia576,False,False,2023.0,August 16,167.8,159.5,73.9,8.6,6.3,82.7,720.0,1560.0,5:9,273.0,Android 13,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n/ac,False,5.0
C22,5000,69,Unisoc SC9863A (28nm),IMG8322,IPS,Nokia576,False,False,2023.0,February 25,190.0,164.6,75.9,8.6,6.5,81.6,720.0,1600.0,20:9,270.0,Android 13 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.2
C3,3040,130 EUR,Unisoc SC9863A (28nm),IMG8322,IPS,Nokia576,False,False,2020.0,August 04,184.5,159.9,77.0,8.7,5.99,75.2,720.0,1440.0,18:9,269.0,Android 10,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C30,6000,100 EUR,Unisoc SC9863A (28nm),IMG8322,IPS,Nokia576,False,False,2021.0,July 27,237.0,177.7,79.1,9.9,6.82,79.9,720.0,1600.0,20:9,257.0,Android 11 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C300,4000,46,Qualcomm SM6115 Snapdragon 662 (11 nm),Adreno 610,IPS,Nokia576,False,False,2023.0,June 02,190.0,166.7,76.6,8.6,6.52,80.4,720.0,1600.0,20:9,269.0,Android 12,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n/ac,False,5.0
C31,5050,84,Unisoc SC9863A (28nm),IMG8322,IPS,Nokia576,False,False,2022.0,September 01,200.0,169.2,78.0,8.6,6.75,83.4,720.0,1600.0,20:9,260.0,Android 12,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
C32,5000,540,Unisoc SC9863A1 (22nm),IMG8322,IPS,Nokia576,False,False,2023.0,February 25,199.4,164.6,75.9,8.6,6.5,81.6,720.0,1600.0,20:9,270.0,Android 13,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.2
C5,1050,110 EUR,None,None,TFT,BLU369,False,False,2018.0,August,145.0,144.3,72.5,10.3,5.0,65.9,480.0,854.0,16:9,196.0,Android 8.1 Oreo ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,2.1
C5 Endi,4000,150 EUR,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,IPS,Nokia576,False,False,2020.0,May 29,200.0,171.7,76.7,8.9,6.52,77.9,720.0,1600.0,20:9,269.0,Android 10,8.0,Triple,Single,True,True,Wi-Fi 802.11 b/g/n,False,5.0
C6,1200,120 EUR,None,None,TFT,BLU369,False,False,2018.0,June,167.0,152.2,77.6,9.4,5.5,70.6,720.0,1280.0,16:9,267.0,Android 8.1 Oreo ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
C7,1200,150 EUR,None,Broadcom BCM2727,AMOLED,BLU369,False,False,2021.0,May 22,186.0,165.0,76.5,8.9,6.5,80.8,720.0,1600.0,20:9,270.0,Android 10 ,4.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Candy,2500,80 EUR,None,None,IPS,LG667,False,False,2018.0,August,152.0,146.3,73.2,8.2,5.0,64.4,720.0,1280.0,16:9,294.0,Android 7.1.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
Civi,4500,350 EUR,Qualcomm SM7325 Snapdragon 778G 5G (6 nm),Adreno 642L,OLED,Xiaomi377,False,False,2021.0,September 27,166.0,158.3,71.5,7.0,6.55,91.5,1080.0,2400.0,20:9,402.0,Android 11,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Civi 1S,4500,330 EUR,Qualcomm SM7325-AE Snapdragon 778G+ 5G (6 nm),Adreno 642L,OLED,Xiaomi377,False,False,2022.0,April 21,166.0,158.3,71.5,7.0,6.55,91.5,1080.0,2400.0,20:9,402.0,Android 12,8.0,Triple,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Civi 2,4500,350 EUR,Qualcomm SM7450-AB Snapdragon 7 Gen 1 (4 nm),Adreno 644,AMOLED,Xiaomi377,False,False,2022.0,September 27,171.8,159.2,72.7,7.2,6.55,89.5,1080.0,2400.0,20:9,402.0,Android 12,8.0,Triple,Dual,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.2
Civi 3,4500,330 EUR,Mediatek Dimensity 8200 Ultra (4 nm),Mali-G610 MC6,AMOLED,Xiaomi377,False,False,2023.0,May 25,174.0,158.7,71.7,7.6,6.55,91.0,1080.0,2400.0,20:9,402.0,Android 13,8.0,Triple,Dual,True,False,Wi-Fi 802.11 a/b/g/n/ac/6,True,5.3
Connect 4G MS840,1540,110 EUR,Qualcomm MSM8660 Snapdragon S3,Adreno 220,TFT,LG667,False,False,2012.0,"January. Released 2012, February",137.0,117.0,62.0,11.7,4.0,61.3,480.0,840.0,16:9,242.0,Android 2.3.5 ,2.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,3.0
Cymbal 2,1600,60 EUR,Qualcomm QM215 Snapdragon 215 (28 nm),Adreno 308,TFT,ZTE369,False,False,2020.0,January,135.0,109.0,56.0,19.5,2.8,39.8,240.0,320.0,4:3,143.0,Linux 3.18.71,4.0,Single,None,True,True,Wi-Fi 802.11 b/g/n,False,4.2
DROID DNA,2020,280 EUR,Qualcomm APQ8064 Snapdragon S4 Pro,Adreno 320,Super,HTC287,False,False,2012.0,"November. Released 2012, November",141.7,141.0,70.5,9.7,5.0,69.3,1080.0,1920.0,16:9,441.0,Android 4.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.0
DROID Incredible 4G LTE,1700,270 EUR,Qualcomm MSM8960 Snapdragon S4 Plus,Adreno 225,S-LCD,HTC287,False,False,2012.0,"May. Released 2012, July",132.0,121.9,61.0,11.7,4.0,59.3,540.0,960.0,16:9,275.0,Android 4.0.3 ,2.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.0
Desire 10 Compact,3300,150 EUR,Mediatek MT6737T (28 nm),Mali-T720,IPS,HTC287,False,False,2017.0,Q1,148.0,148.6,72.0,7.5,5.0,64.4,720.0,1280.0,16:9,294.0,Android 6.0 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.1
Desire 10 Lifestyle,2700,200 EUR,Qualcomm MSM8928 Snapdragon 400 (28 nm),Adreno 305,IPS,HTC287,False,False,2016.0,"September. Released 2016, September",155.0,156.9,76.9,7.7,5.5,69.1,720.0,1280.0,16:9,267.0,Android 6.0 ,4.0,Single,Single,True,False,Wi-Fi 802.11 b/g/n,False,4.1
Desire 10 Pro,3000,260 EUR,Mediatek MT6755 Helio P10 (28 nm),Mali-T860MP2,IPS,HTC287,False,False,2016.0,"September 20. Released 2016, December 20",165.0,156.5,76.0,7.9,5.5,70.5,1080.0,1920.0,16:9,400.0,Android 6.0 ,8.0,Single,Single,True,True,Wi-Fi 802.11 a/b/g/n,True,4.2
Desire 12,2730,130 EUR,Mediatek MT6739 (28 nm),PowerVR GE8100,IPS,HTC287,False,False,2018.0,March,137.0,148.5,70.8,8.2,5.5,74.2,720.0,1440.0,18:9,293.0,Android 7.x ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
Desire 12+,2965,170 EUR,Qualcomm SDM450 Snapdragon 450 (14 nm),Adreno 506,IPS,HTC287,False,False,2018.0,March 20,157.5,158.2,76.6,8.4,6.0,76.7,720.0,1440.0,18:9,268.0,Android 8.0 ,8.0,Dual,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.2
Desire 12s,3075,200 EUR,Qualcomm MSM8940 Snapdragon 435 (28 nm),Adreno 505,IPS,HTC287,False,False,2018.0,December,150.0,154.2,72.7,8.3,5.7,74.8,720.0,1440.0,18:9,282.0,Android 8.1 ,8.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.2
Desire 19+,3850,280 EUR,Mediatek MT6765 Helio P35 (12nm),PowerVR GE8320,IPS,HTC287,False,False,2019.0,June 11,170.0,156.2,74.8,8.5,6.2,82.1,720.0,1520.0,19:9,271.0,Android 9 ,8.0,Triple,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Desire 19s,3850,180 EUR,Mediatek MT6762 Helio P22 (12 nm),PowerVR GE8320,IPS,HTC287,False,False,2019.0,November 14,170.0,156.2,74.8,8.5,6.2,82.1,720.0,1520.0,19:9,271.0,Android 9 ,8.0,Triple,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Desire 20 Pro,5000,660 EUR,Qualcomm SM6125 Snapdragon 665 (11 nm),Adreno 610,IPS,HTC287,False,False,2020.0,June 16,201.0,162.0,77.0,9.4,6.5,83.1,1080.0,2340.0,5:9,396.0,Android 10,8.0,Quad,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Desire 20+,5000,250 EUR,Qualcomm SM7125 Snapdragon 720G (8 nm),Adreno 618,IPS,HTC287,False,False,2020.0,October 19,203.0,164.9,75.7,9.0,6.5,81.7,720.0,1600.0,20:9,270.0,Android 10,8.0,Quad,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.0
Desire 21 Pro 5G,5000,350 EUR,Qualcomm SM6350 Snapdragon 690 5G (8 nm),Adreno 619,IPS,HTC287,False,False,2021.0,January 13,205.0,167.1,78.1,9.4,6.7,83.0,1080.0,2400.0,20:9,393.0,Android 10,8.0,Quad,Single,True,False,Wi-Fi 802.11 a/b/g/n/ac,True,5.1
Desire 210 dual sim,1300,100 EUR,Mediatek MT6572M (28 nm),Mali-400,TFT,HTC287,False,False,2014.0,"April. Released 2014, June",130.0,125.7,65.0,10.5,4.0,55.7,480.0,800.0,5:3,233.0,Android 4.2.2 ,2.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Desire 22 Pro,4520,460 EUR,Qualcomm SM6375 Snapdragon 695 5G (6 nm),Adreno 619,IPS,HTC287,False,False,2022.0,June 28,205.5,166.3,76.9,9.4,6.6,82.0,1080.0,2412.0,20:9,400.0,Android 12,8.0,Triple,Single,True,True,Wi-Fi 802.11 a/b/g/n/ac,True,5.1
Desire 300,1650,160 EUR,Qualcomm MSM8225 Snapdragon S4 Play,Adreno 203,TFT,HTC287,False,False,2013.0,"September. Released 2013, December",120.0,131.8,66.2,10.1,4.3,60.3,480.0,800.0,5:3,217.0,Android 4.1.2 ,2.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Desire 310,2000,150 EUR,Mediatek MT6582M (28 nm),Mali-400MP2,TFT,HTC287,False,False,2014.0,"January. Released 2014, April",140.0,132.4,68.0,11.3,4.5,62.0,480.0,854.0,16:9,218.0,Android 4.2.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Desire 310 dual sim,2000,140 EUR,Mediatek MT6582M (28 nm),Mali-400MP2,TFT,HTC287,False,False,2014.0,"April. Released 2014, April",140.0,131.4,68.0,11.3,4.5,62.5,480.0,854.0,16:9,218.0,Android 4.2.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Desire 320,2100,80 EUR,None,None,TFT,HTC287,False,False,2015.0,"January. Released 2015, January",145.0,132.0,67.8,10.5,4.5,62.4,480.0,854.0,16:9,218.0,Android 4.4.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Desire 326G dual sim,2000,130 EUR,Spreadtrum SC7731G,None,TFT,HTC287,False,False,2015.0,"April. Released 2015, June",146.0,139.7,69.6,9.7,4.5,57.4,480.0,854.0,16:9,218.0,Android 4.4.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Desire 400 dual sim,1800,240 EUR,None,None,Super,HTC287,False,False,2012.0,"December. Released 2012, December",119.0,128.0,66.9,8.9,4.3,61.5,480.0,800.0,5:3,217.0,Android OS ,2.0,Single,None,True,False,Wi-Fi 802.11 b/g/n,False,4.0
Desire 500,1800,180 EUR,Qualcomm MSM8225Q Snapdragon S4 Play,Adreno 203,TFT,HTC287,False,False,2013.0,"August. Released 2013, September",123.0,131.8,66.9,9.9,4.3,59.7,480.0,800.0,5:3,217.0,Android 4.1.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Desire 501,2100,240 EUR,None,None,TFT,HTC287,False,False,2013.0,"November. Released 2014, February",130.0,128.5,66.7,9.8,4.3,61.4,480.0,800.0,5:3,217.0,Android OS,2.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.0
Desire 501 dual sim,2100,190 EUR,NovaThor U8500,Mali-400,Super,HTC287,False,False,2013.0,"December. Released 2014, February",130.0,128.5,66.7,9.8,4.3,61.4,480.0,800.0,5:3,217.0,Android 4.1 ,2.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.0
Desire 510,2100,200 EUR,Qualcomm MSM8916 Snapdragon 410 (28 nm) - EU modelQualcomm Snapdragon 400 (28 nm) - USA model,Adreno 306 - EU modelAdreno 305 - USA model,IPS,HTC287,False,False,2014.0,"August. Released 2014, September",158.0,139.9,69.8,10.0,4.7,62.3,480.0,854.0,16:9,208.0,Android 4.4.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,True,4.0
Desire 516 dual sim,1950,160 EUR,Qualcomm MSM8625Q Snapdragon 200 (45 nm),Adreno 302,IPS,HTC287,False,False,2014.0,"June. Released 2014, June",160.0,140.0,72.0,9.7,5.0,68.4,540.0,960.0,16:9,220.0,Android 4.2.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
Desire 526,2000,110 EUR,Qualcomm MSM8909 Snapdragon 210 (28 nm),Adreno 304,IPS,HTC287,False,False,2015.0,"July. Released 2015, August",156.0,140.0,70.0,9.9,4.7,62.1,540.0,960.0,16:9,234.0,Android 5.1 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.1
Desire 526G+ dual sim ,2000,160 EUR,None,None,IPS,HTC287,False,False,2015.0,"January. Released 2015, January",154.0,139.8,69.8,9.9,4.7,62.4,540.0,960.0,16:9,234.0,Android 4.4.2 ,4.0,Single,Single,True,True,Wi-Fi 802.11 b/g/n,False,4.0
