DeviceName,Sensor
Zenfone 4 Selfie ZB553KL,Fingerprint (front-mounted)
Zenfone 4 Selfie ZB553KL,accelerometer
Zenfone 4 Selfie ZB553KL,gyro
Zenfone 4 Selfie ZB553KL,proximity
Zenfone 4 Selfie ZB553KL,compass
Zenfone 4 Selfie Pro ZD552KL,Fingerprint (front-mounted)
Zenfone 4 Selfie Pro ZD552KL,accelerometer
Zenfone 4 Selfie Pro ZD552KL,gyro
Zenfone 4 Selfie Pro ZD552KL,proximity
Zenfone 4 Selfie Pro ZD552KL,compass
Zenfone 4 Selfie ZD553KL,Fingerprint (front-mounted)
Zenfone 4 Selfie ZD553KL,accelerometer
Zenfone 4 Selfie ZD553KL,gyro
Zenfone 4 Selfie ZD553KL,proximity
Zenfone 4 Selfie ZD553KL,compass
Zenfone 4 Max ZC520KL,Fingerprint (front-mounted)
Zenfone 4 Max ZC520KL,accelerometer
Zenfone 4 Max ZC520KL,gyro
Zenfone 4 Max ZC520KL,proximity
Zenfone 4 Max ZC520KL,compass
Zenfone 4 Max Pro ZC554KL,Fingerprint (front-mounted)
Zenfone 4 Max Pro ZC554KL,accelerometer
Zenfone 4 Max Pro ZC554KL,gyro
Zenfone 4 Max Pro ZC554KL,proximity
Zenfone 4 Max Pro ZC554KL,compass
Zenfone 4 Max Plus ZC554KL,Fingerprint (front-mounted)
Zenfone 4 Max Plus ZC554KL,accelerometer
Zenfone 4 Max Plus ZC554KL,gyro
Zenfone 4 Max Plus ZC554KL,proximity
Zenfone 4 Max Plus ZC554KL,compass
Zenfone 4 Max ZC554KL,Fingerprint (front-mounted)
Zenfone 4 Max ZC554KL,accelerometer
Zenfone 4 Max ZC554KL,gyro
Zenfone 4 Max ZC554KL,proximity
Zenfone 4 Max ZC554KL,compass
Zenpad Z8s ZT582KL,Accelerometer
Zenpad Z8s ZT582KL,gyro
Zenpad Z8s ZT582KL,proximity
Zenpad Z8s ZT582KL,compass
Zenfone Go ZB552KL,Accelerometer
Zenfone Go ZB552KL,proximity
Zenfone Go ZB552KL,compass
Zenfone Live ZB501KL,Accelerometer
Zenfone Live ZB501KL,proximity
Zenfone Live ZB501KL,compass
Zenfone 3s Max ZC521TL,Fingerprint (front-mounted)
Zenfone 3s Max ZC521TL,accelerometer
Zenfone 3s Max ZC521TL,gyro
Zenfone 3s Max ZC521TL,proximity
Zenfone 3s Max ZC521TL,compass
Zenfone AR ZS571KL,Fingerprint (front-mounted)
Zenfone AR ZS571KL,accelerometer
Zenfone AR ZS571KL,gyro
Zenfone AR ZS571KL,proximity
Zenfone AR ZS571KL,compass
Zenfone AR ZS571KL,barometer
Zenfone 3 Zoom ZE553KL,Fingerprint (rear-mounted)
Zenfone 3 Zoom ZE553KL,accelerometer
Zenfone 3 Zoom ZE553KL,gyro
Zenfone 3 Zoom ZE553KL,proximity
Zenfone 3 Zoom ZE553KL,compass
Zenfone Go ZB690KG,Accelerometer
Zenfone Go ZB690KG,proximity
Zenfone Go ZB690KG,compass
Zenfone Go ZB500KL,Accelerometer
Zenfone Go ZB500KL,proximity
Zenfone Go ZB500KL,compass
Zenfone 3 Max ZC553KL,Fingerprint (rear-mounted)
Zenfone 3 Max ZC553KL,accelerometer
Zenfone 3 Max ZC553KL,gyro
Zenfone 3 Max ZC553KL,proximity
Zenfone 3 Max ZC553KL,compass
Zenfone 3 Deluxe 5.5 ZS550KL,Fingerprint (rear-mounted)
Zenfone 3 Deluxe 5.5 ZS550KL,accelerometer
Zenfone 3 Deluxe 5.5 ZS550KL,gyro
Zenfone 3 Deluxe 5.5 ZS550KL,proximity
Zenfone 3 Deluxe 5.5 ZS550KL,compass
Zenfone 3 Max ZC520TL,Fingerprint (rear-mounted)
Zenfone 3 Max ZC520TL,accelerometer
Zenfone 3 Max ZC520TL,proximity
Zenfone 3 Max ZC520TL,compass
Zenfone 3 Laser ZC551KL,Fingerprint (rear-mounted)
Zenfone 3 Laser ZC551KL,accelerometer
Zenfone 3 Laser ZC551KL,gyro
Zenfone 3 Laser ZC551KL,proximity
Zenfone 3 Laser ZC551KL,compass
Zenfone 3 ZE520KL,Fingerprint (rear-mounted)
Zenfone 3 ZE520KL,accelerometer
Zenfone 3 ZE520KL,gyro
Zenfone 3 ZE520KL,proximity
Zenfone 3 ZE520KL,compass
Zenfone Pegasus 3,Fingerprint (rear-mounted)
Zenfone Pegasus 3,accelerometer
Zenfone Pegasus 3,proximity
Zenfone Pegasus 3,compass
Zenfone 3 Ultra ZU680KL,Fingerprint (front-mounted)
Zenfone 3 Ultra ZU680KL,accelerometer
Zenfone 3 Ultra ZU680KL,gyro
Zenfone 3 Ultra ZU680KL,proximity
Zenfone 3 Ultra ZU680KL,compass
Zenfone 3 Deluxe ZS570KL,Fingerprint (rear-mounted)
Zenfone 3 Deluxe ZS570KL,accelerometer
Zenfone 3 Deluxe ZS570KL,gyro
Zenfone 3 Deluxe ZS570KL,proximity
Zenfone 3 Deluxe ZS570KL,compass
Zenfone 3 ZE552KL,Fingerprint (rear-mounted)
Zenfone 3 ZE552KL,accelerometer
Zenfone 3 ZE552KL,gyro
Zenfone 3 ZE552KL,proximity
Zenfone 3 ZE552KL,compass
Zenfone Max ZC550KL (2016),Accelerometer
Zenfone Max ZC550KL (2016),proximity
Zenfone Max ZC550KL (2016),compass
Zenfone Go ZB450KL,Accelerometer
Zenfone Go ZB450KL,proximity
Zenfone Go ZB450KL,compass
Zenfone Go ZB452KG,Accelerometer
Zenfone Go ZB452KG,proximity
Zenfone Go ZB452KG,compass
Zenfone Go ZB551KL,Accelerometer
Zenfone Go ZB551KL,proximity
Zenfone Go T500,Accelerometer
Zenfone Go T500,proximity
Zenfone Go ZC451TG,Accelerometer
Zenfone Go ZC451TG,proximity
Zenfone Go ZC451TG,compass
Live G500TG,Accelerometer
Live G500TG,proximity
Zenfone 2 Laser ZE551KL,Accelerometer
Zenfone 2 Laser ZE551KL,gyro
Zenfone 2 Laser ZE551KL,proximity
Zenfone 2 Laser ZE551KL,compass
Zenfone Zoom ZX551ML,Accelerometer
Zenfone Zoom ZX551ML,gyro
Zenfone Zoom ZX551ML,proximity
Zenfone Zoom ZX551ML,compass
Zenpad 10 Z300C,Accelerometer
Zenpad 10 Z300C,compass
Zenfone Go ZC500TG,Accelerometer
Zenfone Go ZC500TG,proximity
Zenfone Go ZC500TG,compass
Zenfone Max ZC550KL,Accelerometer
Zenfone Max ZC550KL,proximity
Zenfone Max ZC550KL,compass
Zenfone 2 Deluxe ZE551ML,Accelerometer
Zenfone 2 Deluxe ZE551ML,gyro
Zenfone 2 Deluxe ZE551ML,proximity
Zenfone 2 Deluxe ZE551ML,compass
Zenfone 2 Laser ZE601KL,Accelerometer
Zenfone 2 Laser ZE601KL,gyro
Zenfone 2 Laser ZE601KL,proximity
Zenfone 2 Laser ZE601KL,compass
Zenfone 2 Laser ZE600KL,Accelerometer
Zenfone 2 Laser ZE600KL,gyro
Zenfone 2 Laser ZE600KL,proximity
Zenfone 2 Laser ZE600KL,compass
Zenfone 2 Laser ZE550KL,Accelerometer
Zenfone 2 Laser ZE550KL,gyro
Zenfone 2 Laser ZE550KL,proximity
Zenfone 2 Laser ZE550KL,compass
Zenfone 2 Laser ZE500KG,Accelerometer
Zenfone 2 Laser ZE500KG,compass
Zenfone 2 Laser ZE500KL,Accelerometer
Zenfone 2 Laser ZE500KL,proximity
Zenfone 2 Laser ZE500KL,compass
Zenpad 7.0 Z370CG,Accelerometer
Zenpad 7.0 Z370CG,proximity
Zenpad 7.0 Z370CG,compass
Zenfone 2E,Accelerometer
Zenfone 2E,proximity
Zenfone 2E,compass
Pegasus 2 Plus,Accelerometer
Pegasus 2 Plus,gyro
Pegasus 2 Plus,proximity
Pegasus 2 Plus,compass
Zenpad 8.0 Z380KL,Accelerometer
Zenpad 8.0 Z380KL,proximity
Zenpad 8.0 Z380KL,compass
Zenpad C 7.0,Accelerometer
Zenfone Selfie ZD551KL,Accelerometer
Zenfone Selfie ZD551KL,gyro
Zenfone Selfie ZD551KL,proximity
Zenfone Selfie ZD551KL,compass
Zenfone 2 ZE500CL,Accelerometer
Zenfone 2 ZE500CL,proximity
Zenfone 2 ZE500CL,compass
Zenfone 2 ZE550ML,Accelerometer
Zenfone 2 ZE550ML,proximity
Zenfone 2 ZE550ML,compass
Zenfone 2 ZE551ML,Accelerometer
Zenfone 2 ZE551ML,gyro
Zenfone 2 ZE551ML,proximity
Zenfone 2 ZE551ML,compass
Fonepad 7 FE375CL,Accelerometer
Fonepad 7 FE375CL,proximity
Fonepad 7 FE375CL,compass
Zenfone C ZC451CG,Accelerometer
Zenfone C ZC451CG,proximity
Fonepad 7 FE171CG,Accelerometer
